iter	RMSE
0	163.1328605
1	158.8544805
2	154.9544381
3	151.6254125
4	148.631379
5	145.9970712
6	143.3796259
7	141.2199515
8	139.4493315
9	137.8477269
10	136.2909106
11	134.9269844
12	133.7842621
13	132.7741244
14	131.8569472
15	131.0393298
16	130.070009
17	129.368415
18	128.814291
19	128.1327639
20	127.4183237
21	126.9806476
22	126.5400607
23	126.1836364
24	125.8225212
25	125.5633941
26	125.2122097
27	124.9598189
28	124.7440566
29	124.4297729
30	124.0377736
31	123.8345512
32	123.6361096
33	123.403272
34	123.1864466
35	123.0127409
36	122.8086341
37	122.6105685
38	122.449596
39	122.2973363
40	122.1326023
41	122.0398448
42	121.9495685
43	121.8410563
44	121.5848884
45	121.5034883
46	121.3323985
47	121.2588915
48	121.1224808
49	121.0088322
50	120.8293427
51	120.6295998
52	120.5471075
53	120.4886835
54	120.4077092
55	120.3368642
56	120.287845
57	120.2003489
58	120.1561685
59	120.0786074
60	120.0194501
61	119.9496884
62	119.8954445
63	119.8520034
64	119.6884791
65	119.6020577
66	119.5755337
67	119.5316357
68	119.4764402
69	119.4431713
70	119.4111536
71	119.3401232
72	119.2846052
73	119.2202215
74	119.1882862
75	119.1658191
76	119.0887532
77	119.052883
78	118.9456606
79	118.8978035
80	118.8361646
81	118.7552221
82	118.7346155
83	118.6560504
84	118.6308285
85	118.5861506
86	118.5505561
87	118.4771626
88	118.4410622
89	118.3998719
90	118.3598049
91	118.2999147
92	118.2723189
93	118.2241275
94	118.1888542
95	118.083788
96	118.0612678
97	118.0293487
98	117.9810152
99	117.9443398
100	117.9129206
101	117.8895642
102	117.8006058
103	117.7708055
104	117.7409242
105	117.7199417
106	117.6974084
107	117.6788678
108	117.6437389
109	117.6169736
110	117.5873135
111	117.5516317
112	117.5306279
113	117.4805775
114	117.4020963
115	117.376471
116	117.328666
117	117.3048696
118	117.2812293
119	117.2638169
120	117.2390409
121	117.2033307
122	117.182354
123	117.1043499
124	117.0445144
125	117.0299953
126	116.9868976
127	116.961215
128	116.9293276
129	116.903676
130	116.8688219
131	116.8419311
132	116.8059591
133	116.7780785
134	116.7394864
135	116.7164547
136	116.661791
137	116.63156
138	116.5912112
139	116.573427
140	116.5107344
141	116.4760557
142	116.4486796
