iter	Passed	Remaining
0	15	15713
1	28	14367
2	43	14611
3	59	14726
4	74	14793
5	88	14584
6	100	14298
7	111	13787
8	122	13515
9	136	13560
10	156	14069
11	171	14118
12	183	13932
13	194	13665
14	205	13523
15	221	13608
16	237	13728
17	249	13594
18	262	13554
19	276	13536
20	298	13894
21	311	13828
22	321	13658
23	333	13549
24	344	13416
25	357	13394
26	376	13558
27	389	13535
28	400	13393
29	413	13371
30	423	13245
31	442	13381
32	458	13443
33	469	13336
34	483	13334
35	495	13256
36	506	13179
37	518	13123
38	532	13124
39	547	13138
40	562	13146
41	572	13061
42	585	13024
43	597	12974
44	613	13029
45	631	13101
46	643	13039
47	655	13008
48	667	12959
49	683	12977
50	702	13073
51	719	13125
52	731	13070
53	740	12973
54	760	13062
55	786	13254
56	810	13412
57	835	13565
58	859	13713
59	895	14031
60	914	14076
61	937	14178
62	953	14182
63	988	14461
64	1009	14521
65	1027	14547
66	1041	14510
67	1058	14509
68	1082	14611
69	1107	14717
70	1131	14798
71	1155	14890
72	1184	15036
73	1231	15411
74	1251	15434
75	1283	15602
76	1317	15792
77	1335	15789
78	1350	15740
79	1368	15737
80	1380	15664
81	1397	15643
82	1411	15594
83	1434	15643
84	1452	15631
85	1469	15612
86	1483	15568
87	1504	15587
88	1526	15626
89	1550	15676
90	1583	15819
91	1601	15809
92	1640	15996
93	1675	16146
94	1840	17536
95	1889	17795
96	1930	17972
97	1961	18054
98	2022	18405
99	2070	18638
100	2126	18925
101	2186	19249
102	2295	19994
103	2327	20049
104	2360	20121
105	2384	20106
106	2431	20289
107	2456	20286
108	2485	20318
109	2522	20412
110	2568	20571
111	2616	20742
112	2699	21186
113	2733	21246
114	2781	21404
115	2831	21581
116	2893	21833
117	2951	22062
118	3016	22335
119	3128	22945
120	3154	22916
121	3184	22914
122	3258	23232
123	3274	23134
124	3293	23052
125	3316	23002
126	3332	22905
127	3355	22856
128	3373	22777
129	3391	22694
130	3427	22738
131	3443	22645
132	3465	22589
133	3482	22504
134	3503	22451
135	3522	22380
136	3542	22314
137	3564	22264
138	3585	22206
139	3602	22127
140	3629	22113
141	3645	22027
142	3663	21953
143	3684	21905
144	3710	21880
145	3730	21819
146	3747	21745
147	3765	21679
148	3809	21759
149	3855	21849
150	3925	22070
151	3982	22217
152	4009	22194
153	4046	22229
154	4165	22707
155	4188	22659
156	4205	22580
157	4223	22510
158	4248	22473
159	4268	22407
160	4286	22336
161	4302	22256
162	4317	22172
163	4334	22092
164	4354	22038
165	4389	22054
166	4405	21972
167	4421	21897
168	4434	21807
169	4462	21788
170	4487	21756
171	4507	21700
172	4525	21633
173	4545	21576
174	4574	21563
175	4597	21526
176	4613	21453
177	4629	21378
178	4642	21293
179	4665	21254
180	4694	21240
181	4713	21184
182	4731	21124
183	4748	21060
184	4783	21073
185	4802	21019
186	4821	20962
187	4837	20894
188	4866	20882
189	4890	20849
190	4910	20800
191	4928	20742
192	4944	20673
193	4982	20701
194	5006	20669
195	5026	20620
196	5042	20551
197	5060	20499
198	5080	20449
199	5105	20423
200	5129	20391
201	5148	20338
202	5168	20290
203	5183	20226
204	5200	20168
205	5225	20141
206	5244	20090
207	5261	20033
208	5279	19979
209	5295	19920
210	5312	19864
211	5335	19830
212	5359	19802
213	5387	19787
214	5403	19729
215	5422	19680
216	5467	19729
217	5566	19967
218	5621	20046
219	5707	20237
220	5804	20459
221	5834	20448
222	5854	20399
223	5872	20343
224	5904	20336
225	5926	20297
226	5949	20261
227	5967	20204
228	5988	20161
229	6015	20138
230	6035	20091
231	6060	20061
232	6083	20024
233	6129	20065
234	6149	20017
235	6177	19999
236	6212	20001
237	6238	19974
238	6257	19925
239	6270	19856
240	6289	19806
241	6329	19826
242	6363	19824
243	6413	19871
244	6499	20028
245	6561	20109
246	6614	20163
247	6654	20177
248	6671	20122
249	6688	20065
250	6706	20013
251	6727	19968
252	6766	19978
253	6791	19946
254	6811	19898
255	6850	19909
256	6894	19933
257	6953	19997
258	7008	20050
259	7033	20017
260	7051	19965
261	7067	19906
262	7086	19857
263	7105	19810
264	7124	19759
265	7149	19728
266	7166	19673
267	7186	19628
268	7214	19604
269	7232	19554
270	7252	19510
271	7271	19462
272	7293	19422
273	7319	19393
274	7351	19381
275	7391	19388
276	7475	19510
277	7522	19537
278	7553	19520
279	7570	19466
280	7587	19413
281	7619	19398
282	7638	19352
283	7679	19361
284	7761	19472
285	7782	19429
286	7808	19399
287	7829	19356
288	7851	19317
289	7885	19305
290	7909	19271
291	7924	19214
292	7947	19178
293	7993	19195
294	8031	19194
295	8096	19256
296	8113	19205
297	8135	19164
298	8159	19130
299	8188	19105
300	8210	19065
301	8229	19020
302	8244	18964
303	8261	18915
304	8284	18878
305	8344	18925
306	8377	18910
307	8407	18890
308	8484	18972
309	8522	18969
310	8554	18952
311	8577	18914
312	8609	18896
313	8632	18859
314	8647	18805
315	8664	18754
316	8690	18724
317	8716	18694
318	8733	18644
319	8754	18603
320	8789	18592
321	8819	18570
322	8836	18520
323	8853	18472
324	8874	18431
325	8901	18402
326	8921	18360
327	8950	18338
328	8972	18299
329	9006	18285
330	9024	18239
331	9041	18191
332	9057	18142
333	9093	18132
334	9122	18108
335	9152	18086
336	9177	18055
337	9213	18045
338	9235	18008
339	9252	17960
340	9274	17923
341	9298	17890
342	9332	17875
343	9356	17842
344	9376	17801
345	9403	17773
346	9433	17752
347	9453	17712
348	9479	17682
349	9529	17697
350	9550	17658
351	9569	17617
352	9595	17588
353	9613	17543
354	9631	17499
355	9659	17474
356	9685	17444
357	9706	17406
358	9720	17355
359	9746	17326
360	9769	17292
361	9809	17288
362	9828	17247
363	9846	17203
364	9871	17174
365	9900	17149
366	9920	17111
367	9932	17058
368	9953	17020
369	9979	16992
370	10006	16965
371	10024	16923
372	10041	16880
373	10058	16835
374	10094	16824
375	10112	16782
376	10127	16735
377	10145	16694
378	10178	16678
379	10197	16638
380	10216	16598
381	10233	16555
382	10251	16515
383	10286	16501
384	10315	16478
385	10333	16436
386	10347	16390
387	10384	16379
388	10402	16339
389	10425	16307
390	10444	16267
391	10467	16235
392	10497	16213
393	10515	16173
394	10537	16139
395	10553	16096
396	10579	16068
397	10612	16051
398	10628	16009
399	10644	15966
400	10669	15938
401	10691	15904
402	10714	15871
403	10732	15832
404	10753	15798
405	10776	15766
406	10792	15724
407	10821	15701
